ID,Name,Game,Type,Banner,Rarity,HP,HPFormula,AC,AttackBonus,AttackKind,AttackAbility,AttackRange,AttackTargets,Damage,DamageType,BonusDamage,BonusDamageType,Speed,Saves,SaveSTR,SaveDEX,SaveCON,SaveINT,SaveWIS,SaveCHA,SaveProficient,Attack,BaselineName,BaselineText,Healing,Special,CapstoneType,CapstoneText,ImageURL
1,Rawiyah,Sword of Convallaria,DPS,1,3,19,4d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,slashing,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Gale Breach (Melee Weapon Attack, reach 5 ft., one target): A charging axe-cleave that closes the gap with a wind-swept slashing strike, dealing more damage if the target is already debuffed.",,,,,,,https://static.wikia.nocookie.net/convallaria/images/2/22/RawiyahProfile.png
2,Hasna,Sword of Convallaria,DPS,1,3,13,4d6+4,12,4,Ranged Spell Attack,WIS,60 ft.,1 target,1d8+2,force,,,30 ft.,WIS +4,+0,+1,+0,+2,+4,+2,WIS,"Penetrating Shot (Ranged Spell Attack, range 60 ft., one target): A perfumed magical censer-bolt that pierces armor and lingers as Fragrance: the target has disadvantage on its next saving throw, and the effect then ends.",,,,,,,https://static.wikia.nocookie.net/convallaria/images/c/cd/Hasna_basic.webp
3,Senshi,Sword of Convallaria,DPS,1,3,22,4d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,bludgeoning,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Pot Slam! (Melee Weapon Attack, reach 5 ft., one target): A heavy iron-pot bash dealing bludgeoning damage and knocking the target back 5 ft.",,,,,,,https://static.wikia.nocookie.net/convallaria/images/2/2d/Senshi_base.png
4,Beryl,Sword of Convallaria,DPS,1,4,33,6d8+8,13,5,Ranged Spell Attack,WIS,60 ft.,1 target,1d10+3,fire,,,30 ft.,WIS +5,+1,+2,+1,+3,+5,+3,WIS,"Magic Bolt (Ranged Spell Attack, range 60 ft., one target): An armor-piercing arcane bolt that scorches the target with fire damage.",,,,"BOOOOOM! (Recharge 5-6): 20-ft radius centered on a point within 60 ft. DC 13 DEX save. 4d6 fire damage on a failed save, half as much damage on a successful save. A target that fails is also Ignited: it takes 1d6 fire damage at the start of its next turn, and the effect then ends.",,,https://static.wikia.nocookie.net/convallaria/images/c/c4/BerylProfile.png
5,Kiya,Sword of Convallaria,Support,1,4,26,5d8+6,13,5,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,slashing,,,30 ft.,DEX +5,+0,+5,+1,+1,+4,+3,DEX,"Cursed Blade Slash (Melee Weapon Attack, reach 5 ft., one target): A slashing strike from a cursed blade inflicting Infection: the target takes 1d4 necrotic damage at the start of its next turn, and the effect then ends.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",1/Summon (1d8+2),"Bone-Carved Resolve (Recharge 5-6): Kiya sacrifices 1d6 of her own HP to mark one enemy within 30 ft. with Cursed Mark. The target takes 3d8 necrotic damage, plus an extra 1d8 necrotic damage if Kiya is below half HP. While marked, the target cannot regain hit points; the mark ends at the end of Kiya's next turn.",,,https://static.wikia.nocookie.net/convallaria/images/e/e8/Kiya_base.png
6,Team Meteor,Sword of Convallaria,Support,1,5,55,7d8+12,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+3,bludgeoning,,,30 ft.,DEX +6 / WIS +5,+1,+6,+2,+2,+5,+4,DEX;WIS,"Hot Grilled Meat Impact (Melee Weapon Attack, reach 5 ft., one target): A cross-pattern shoulder-charge from the formation, dealing bludgeoning damage and knocking the target back 5 ft.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",1/Summon (2d8+3),"Stylish Confident Strike (Recharge 5-6): Make one attack with advantage against a target within 30 ft. On hit, deals +2d8 force damage and ignores up to 5 points of damage resistance.",Ultimate,"Victory Meteor Piercing the Sky (1/Summon): Team Meteor charges in a 30-ft line. Each creature in the line makes a DC 15 STR save. On a failed save, takes 6d6 bludgeoning damage, is knocked back 10 ft., and is stunned until the end of its next turn; half as much damage and no stun on a successful save.",https://static.wikia.nocookie.net/convallaria/images/c/c9/Team_Meteor_base.png
7,Momo,Sword of Convallaria,DPS,2,3,47,8d8+12,14,6,Ranged Spell Attack,WIS,60 ft.,1 target,2d6+3,force,,,30 ft.,WIS +6,+2,+3,+2,+4,+6,+4,WIS,"Magic Shot (Ranged Spell Attack, range 60 ft., one target): A ranged magical projectile that inflicts Infection on the target: it takes 1d4 necrotic damage at the start of its next turn, and the effect then ends.",,,,,,,https://static.wikia.nocookie.net/convallaria/images/7/78/Momo_base.png
8,Caris,Sword of Convallaria,DPS,2,3,43,8d8+12,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,2d6+3,radiant,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Holy Strike (Melee Weapon Attack, reach 5 ft., one target): A piercing magical strike infused with holy light that deals radiant damage.",,,,,,,https://static.wikia.nocookie.net/convallaria/images/a/af/Caris.png
9,Nydia,Sword of Convallaria,DPS,2,4,70,12d8+20,15,7,Ranged Weapon Attack,DEX,80 ft.,1 target,2d8+4,piercing,,,30 ft.,DEX +7,+5,+7,+5,+3,+4,+3,DEX,"Trill (Ranged Weapon Attack, range 80 ft., one target): An arrow that pulls the nearest enemy within 15 ft. of the target toward them for collision (piercing).",,,,"Thousand Black Feathers (Recharge 5-6): Nydia unleashes a hail of cold-tipped feathers in a 15-ft cone. DC 13 DEX save. 3d8 piercing damage and the target is marked with Black Feather on a failed save; half as much damage and no mark on a successful save. A marked target takes an extra 1d6 cold damage from Nydia's attacks until the end of Nydia's next turn, and the mark then ends.",,,https://static.wikia.nocookie.net/convallaria/images/7/77/Nydia.png
10,Rico,Sword of Convallaria,Tank,2,4,99,14d10+22,18,6,Melee Weapon Attack,STR,5 ft.,1 target,2d6+3,bludgeoning,,,25 ft.,CON +7,+6,+3,+7,+2,+4,+3,CON,"Hammer Smash (Melee Weapon Attack, reach 5 ft., one target): A heavy bludgeoning hammer strike that knocks the target back 5 ft. on hit.",,,,"Awoo! Dragon Roar! (Recharge 5-6): 15-ft cone. DC 14 STR save. 3d8 thunder damage and the target is marked Vulnerable on a failed save (the next attack roll against it has advantage; this ends after that attack or at the end of its next turn, whichever comes first); half as much damage and no Vulnerable on a successful save. Rico gains +2 to attack rolls until end of next round.",,,https://static.wikia.nocookie.net/convallaria/images/5/59/Rico_base.png
